,dwelling_involved_type,general_zoning_classification,Total_area,type_of_road,property_general_shape,property_Flatness,utilities_types,LotConfig,LandSlope,Neighborhood,dwelling_type,HouseStyle,OverallQual,OverallCond,RoofStyle,roof_material,exterior_covering_1,exterior_covering_2,masonry_veneer_type,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,Heating,HeatingQC,CentralAir,electrical_system,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,total_rooms_above_grade,Functional,Fireplaces,GarageType,GarageYrBlt,interior_finish_garage,garage_car_capacity,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,three_season_porch_area,ScreenPorch,PoolArea,other_features_values,MoSold,YrSold,SaleType,SaleCondition,SalePrice,year_diff,Is_diff,finish_percentage_of_Bsmt,Unfinished_percentage_of_Bsmt,LotFrontage,Condition_all,Bsmt Exposure
0,60.0,RL,8450.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7.0,5.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,Other,Gd,TA,No,GLQ,Unf,0.0,856.0,GasA,Ex,Y,SBrkr,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,Typ,0.0,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,WD,Normal,208500.0,0.0,0.0,0.8247663551401869,0.17523364485981308,65.0,Norm,No
1,20.0,RL,9600.0,Pave,Reg,Lvl,AllPub,Other,Gtl,Veenker,1Fam,1Story,6.0,8.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Other,Gd,TA,Gd,ALQ,Unf,0.0,1262.0,GasA,Ex,Y,SBrkr,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,WD,Normal,181500.0,0.0,0.0,0.7749603803486529,0.22503961965134706,80.0,Other,Other
2,60.0,RL,11250.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7.0,5.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,Other,Gd,TA,Mn,GLQ,Unf,0.0,920.0,GasA,Ex,Y,SBrkr,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,1.0,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,223500.0,1.0,1.0,0.5282608695652173,0.4717391304347826,68.0,Norm,Other
3,70.0,RL,9550.0,Pave,IR1,Lvl,AllPub,Other,Gtl,Crawfor,1Fam,2Story,7.0,5.0,Gable,CompShg,Wd Sdng,Other,None,0.0,TA,TA,Other,TA,Other,No,ALQ,Unf,0.0,756.0,GasA,Gd,Y,SBrkr,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0.0,35.0,272.0,0.0,0.0,0.0,0.0,2.0,2006.0,WD,Other,140000.0,55.0,1.0,0.2857142857142857,0.7142857142857143,60.0,Norm,No
4,60.0,RL,14260.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NoRidge,1Fam,2Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,Other,Gd,TA,Av,GLQ,Unf,0.0,1145.0,GasA,Ex,Y,SBrkr,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,WD,Normal,250000.0,0.0,0.0,0.5720524017467249,0.4279475982532751,84.0,Norm,Av
5,50.0,RL,14115.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,1Fam,1.5Fin,5.0,5.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Other,Gd,TA,No,GLQ,Unf,0.0,796.0,GasA,Ex,Y,SBrkr,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,TA,5.0,Typ,0.0,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,40.0,30.0,0.0,320.0,0.0,0.0,700.0,10.0,2009.0,WD,Normal,143000.0,2.0,1.0,0.9195979899497487,0.08040201005025126,85.0,Norm,No
6,20.0,RL,10084.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,Other,186.0,Gd,TA,Other,Other,TA,Av,GLQ,Unf,0.0,1686.0,GasA,Ex,Y,SBrkr,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,WD,Normal,307000.0,1.0,1.0,0.8119810201660735,0.18801897983392646,75.0,Norm,Av
7,60.0,RL,10382.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NWAmes,1Fam,2Story,7.0,6.0,Gable,CompShg,HdBoard,HdBoard,Other,240.0,TA,TA,Other,Gd,TA,Mn,ALQ,BLQ,32.0,1107.0,GasA,Ex,Y,SBrkr,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,2.0,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235.0,204.0,228.0,0.0,0.0,0.0,350.0,11.0,2009.0,WD,Normal,200000.0,0.0,0.0,0.8048780487804879,0.1951219512195122,67.64123524069028,Other,Other
8,50.0,RM,6120.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,7.0,5.0,Gable,CompShg,Other,Other,None,0.0,TA,TA,Other,TA,TA,No,Unf,Unf,0.0,952.0,GasA,Gd,Y,Other,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,TA,8.0,Other,2.0,Detchd,1931.0,Unf,2.0,468.0,Other,TA,Y,90.0,0.0,205.0,0.0,0.0,0.0,0.0,4.0,2008.0,WD,Other,129900.0,19.0,1.0,0.0,1.0,51.0,Other,No
9,190.0,RL,7420.0,Pave,Reg,Lvl,AllPub,Other,Gtl,BrkSide,Other,Other,5.0,6.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Other,TA,TA,No,GLQ,Unf,0.0,991.0,GasA,Ex,Y,SBrkr,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,TA,5.0,Typ,2.0,Attchd,1939.0,RFn,1.0,205.0,Other,TA,Y,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,WD,Normal,118000.0,11.0,1.0,0.858728557013118,0.14127144298688193,50.0,Other,No
